traditional_name;latin_name;INCI_name;danger_factor;naturalness;usage;safety
НЕРОЛИ ГИДРОЛАТ;CITRUS AURANTIUM AMARA;CITRUS AURANTIUM AMARA FLOWER WATER;Низкий;Натуральный;Химический состав:Паровой дистиллят цветков нероли Гидролат нероли имеет необычный фруктово-цветочный аромат.Этот гидролат один из немногих, чей запах не уступает соответствующему эфирномумаслу. Он способствует быстрому успокоению, рекомендуется использовать его пришоковом состоянии или при панических атаках. Нероли помогает быстро справитьсясо стрессом и сильным нервным напряжением, но при этом не обладает побочнымседативным действием. В детской ароматерапии рекомендуется применять приистериках, перевозбуждении, для концентрации внимания. Неролиевая вода поможетуспокоить домашнего питомца перед посещением ветеринара или стрижкой. Гидролат нероли этосредство для ухода за нежной и чувствительной кожей. Но так же подойдетдля жирной и комбинированной – благодаря кислотам, входящим в ее состав,нормализуется выработка кожного сала. Неролиевая вода помогает при куперозе иакне, рекомендуется разводить ею маски из глины, так как она предотвращаетраздражение кожи. В чистом виде можно пользоваться ею как парфюмом.При проблемах с пищеварением (метеоризм, вздутие, запоры)рекомендуется нанести гидролат нероли на активные точки внизу живота, чтобыоблегчить состояние. В смеси с тимьяновой водой, можно делать спринцевания –это поможет устранить симптомы молочницы. Гидролат нероли обладаетспазмолитическим, антибактериальным и противогрибковым действием.;Возможна индивидуальная непереносимость
РОМАШКИ ГИДРОЛАТ;CHAMOMILLA RECUTITA HYDROLAT;CHAMOMILLA RECUTITA FLOWER/LEAF/STEM WATER;Низкий;Натуральный;Химический состав:Паровой дистиллят цветков ромашкиИмеет сладкий травяной аромат. Применяется для борьбы сбессонницей, депрессией, стрессом, в смеси с древесными гидролатами помогаетсконцентрироваться. Универсальное средство для ухода за кожей любого типа:- снимает раздражения и покраснения\;- избавляет от розацеи и акне\;- заживляет солнечные и бытовые ожоги\;- обладает вяжущим действием\;- подходит для чувствительной кожи, поэтому можетприменяться для снятия макияжа с глаз.Сочетание гидролатов ромашки и нероли используется для кожи склонной к жирностии появлению акне\; в сочетании с гамамелисовой водой используется для увлажнениязрелой кожи\; в сочетании с гидролатами лаванды и герани используется каксредство для сухой  кожи. Ромашковая вода одно из уникальных средств, которыми можно промывать глаза приконьюктивите, усталости, покраснении и рези глаз (например, после долгогопребывания за компьютером)\; она используется для полосканий при зубной боли.Гидролат ромашки может использоваться для ухода даже за новорожденными – егодобавляют в ванночки или распыляют на постельное белье перед сном. Кормящиеженщины используют ромашку для профилактики трещин на сосках\; опрелости ипеленочный дерматит устраняются при помощи компрессов (1:1 с водой илигидролатом лаванды).;Возможна индивидуальная непереносимость
МИНДАЛЯ СЛАДКОГО МАСЛО;SWEET ALMOND OIL;SWEET ALMOND OIL;Низкий;Натуральный;Описание: легкое базовое масло, может быть комедогенным, хранить 6- 12 месяцев после открытия.Цвет: бесцветное или чуть золотистоеЗапах: нетСостав: глюкозиды, витамины (А, В1, В2, В6, Е и F), минералы, белковые вещества, фермент эмульсин, бета-ситостерин, сквален, альфа-токоферол.Косметическое действие: хорошо питает, благодаря витамина Е обладает антиоксидантными свойствами, замедляет процесс старения и снимает воспаление, нормализует работу сальных желез, возвращает волосам эластичность и сияние., противоожоговое действие, показано для кожи вокруг глаз.Применение масла сладкого миндаля делает кожу лица и тела упругой, эластичной, отдохнувшей\; волосы - гладкими, эластичными и послушными. Помогает предотвратить появление растяжек во время беременности и после родов.комплекс витаминов А, Е, F, В1, В2, В6, минералы, глюкозиды, аминокислоты, фермент эмульсин. Жирнокислотный состав масла сладкого миндаля представлен олеиновой (62-85%), линолевой (20-30%), пальмитиновой (4-9%), стеариновой (до 3%) кислотами.Химический состав:комплекс витаминов А, Е, F, В1, В2, В6, минералы, глюкозиды, аминокислоты, фермент эмульсин. Жирнокислотный состав масла сладкого миндаля представлен олеиновой (62-85%), линолевой (20-30%), пальмитиновой (4-9%), стеариновой (до 3%) кислотами.;Индивидуальная непереносимость масла
МАНДАРИНА ЭФИРНОЕ МАСЛО;CITRUS RETICULATA BLANCO ESSENTIAL OIL;CITRUS RETICULATA BLANCO (TANGERINE) ESSENTIAL OIL;Низкий;Натуральный;Описание: получают из кожуры, при употреблении внутрь способствует получению красивого, ровного и более долговечного загара, подходит для любой кожиЦвет: темно- оранжевыйЗапах: фруктово- сладкийСостав: α-пинен, β-пинен, мирцен, лимонен, γ-терпинен, дециловый альдегид, нераль, гераниаль, метилтимол, линалилацетат, тимол, метил-N-метилантранилат, α-синенсаль, нуткатон.Косметическое действие: улучшает цвет лица и состояние кожи, нормализует выработку кожного жира, стягивает поры, тонизирует, увлажняет, разглаживает кожу, поэтому эффективно в борьбе с целлюлитом.  Не обладает фототоксическим эффектом.;Индивидуальная непереносимость масла, не рекомендуется наносить на кожу незадолго до применения солнечных ванн
ГРЕЙПФРУТА ЭФИРНОЕ МАСЛО;CITRUS PARADISI  ESSENTIAL OIL;CITRUS PARADISI ESSENTIAL OIL;Низкий;Натуральный;Описание: получают из кожуры плода грейпфрута, отличное тонизирующее и антидепрессивное средство.Цвет: темно- оранжевыйЗапах: фруктово- сладкийСостав: α-пинен, сабинен, мирцен,  лимонен+1,8-цинеол, γ-терпинен, деканаль, нуткатон, кадинен, парадизиол, нероль, гераниол, цитронеллаль, эфиры, кумарины, фурокумарины.Косметическое действие: улучшает цвет лица и состояние кожи, нормализует выработку кожного жира, обладает антикомедогенным действием, стягивает поры, способствует росту волос, тонизирует, увлажняет, разглаживает кожу, эффективно в борьбе с целлюлитом. Используется как консервант натурального направления.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
БЕРГАМОТА ЭФИРНОЕ МАСЛО;CITRUS AURANTIUM BERGAMIA ESSENTIAL OIL;CITRUS AURANTIUM BERGAMIA (BERGAMOT) ESSENTIAL OIL;Низкий;Натуральный;Описание: получают из кожуры плодов, оказывает мощное положительное воздействие на нервную систему, идеально подойдет для жирной проблемной кожи.Цвет: зеленовато- желтыйЗапах: терпкий, горьковатый, пряно- сладкийСостав: β-пинен, лимонен, γ-терпинен, линалоол, линалилацетат, гераниаль, бергаптен.Косметическое действие: борется с раздражением кожи и различными высыпаниями, нормализует работу сальных желез, осветляющий эффект и сужение пор, освежает кожу и питает кожу головы.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
БЕССМЕРТНИКА ГИДРОЛАТ;HELICHRYSUM ITALICUM HYDROLAT;HELICHRYSUM ITALICUM FLOWER WATER;Низкий;Натуральный;Химический состав: Пароводяной дистиллят цветков бессмертника Имеет сладковатый медово-травяной аромат. Бессмертниковая вода – одно изсамых эффективных средств, тонизирующих кожу и повышающих ее упругость.Используется в виде примочек и компрессов для области вокруг глаз, так какпомогает справиться с покраснениями и отечностью, избавляет от темных кругов.Гидролат бессмертника подходит также для кожи склонной к раздражениям илиповрежденной кожи – он обладает противовоспалительными и регенерирующими свойствами.Примочки и компрессы с гидролатом бессмертника эффективны при синяках и ушибах,проявлениях аллергии на коже, псориазе и экземе. Можно использовать для уходаза пирсингом или свежей татуировкой.;Возможна индивидуальная непереносимость
ВАСИЛЬКА ГИДРОЛАТ (ВАСИЛЬКОВАЯ ВОДА);CENTAUREA CYANUS;CENTAUREA CYANUS FLOWER WATER;Низкий;Натуральный;Химический состав: Пароводяной дистиллят цветков василька Гидролат василька не имеет яркого аромата. В его составе содержатся натуральные биофлаваноиды, которые имеют ярковыраженные антибактериальные свойства. Помимо этого васильковая вода прекрасное средство для ухода заобластью вокруг глаз – она помогает избавиться от отечности и снять напряжени епри долговременной работе за компьютером (достаточно распылить небольшоеколичество на область век или сделать компресс перед сном). Такие компрессы также будут полезны при сезонной аллергии, блефаритах, коньюктивитах, придискомфорте от ношения контакных линз. Васильковая вода помогает справиться с куперозом, так как обеспечивает отток крови от поверхности кожи. Она увлажняет и тонизирует, сокращает мелкие морщинки, будет полезна обладателям чувствительной кожи.;Возможна индивидуальная непереносимость
ИССОПА ГИДРОЛАТ (ИССОПОВАЯ ВОДА);HYSSOPUS OFFICINALIS;HYSSOPUS OFFICINALIS FLOWER WATER;Низкий;Натуральный;Химический состав: Паровой дистиллят соцветий иссопа Иссоп известен своими противоаллергическим и ранозаживляющимдействиями. Компрессы с гидролатом иссопа очень эффективны при сильных ушибах,гематомах, синяках. В косметологии иссоповую воду используют для быстроговосстановления кожи после травматичных косметических процедур: ручной чистки,пилингов, дермобразии. Добавляя небольшое количество гидролата иссопа впропорции 1:1 с лавандовым, можно усилить действие тоника, крема, скраба, гоммажа или сделать сухие маскиболее щадящими.  Гидролат иссопа пригодится при раздражении, гипермии,отечности, стрессовой реакции на коже, дерматитах, экземе. Регулярноеприменение иссоповой воды делает кожу ровной и нежной, улучшает цвет лица.Также может применяться при перхоти и себорее, для укрепления волос и вкачестве натурального дезодорирующего спрея для тела.;Возможна индивидуальная непереносимость
ГИДРОЛИЗИРОВАННЫЙ КЕРАТИН;HYDROLYZED KERATIN;HYDROLYZED KERATIN;Низкий;Синтетический;;Описание: является формой растительного кератина, производится из шерсти овец, его структура идентична структуре человеческого волоса.Цвет: жидкость коричневого цветаЗапах: ярко выраженныйКосметическое действие: средства с его использованием влияют на прочность волос, увеличивают послушность и эластичность, обеспечивают защиту волоса в процессе окрашивания и укладки, способствуют избавлению от перхоти, кератин благотворно влияет на ногти и обладает регенерирующими свойствамиПолучают из рогов, копыт и шерсти крупного рогатого скота способом кислотного, щелочного или ферментативного гидролиза с дальнейшей нейтрализацией. Из-за низкой молекулярной массы отлично впитывается в кожу и волосы.Косметическое действие:Эффективно восстанавливает волосы, улучшает их внешний вид, придает гладкость и блеск. Создает защитную пленочку, которая удерживает влагу и тем самым придает волосам эластичность. Часто используется в кондиционерах и бальзамах для всех типов волос.Синонимы:HYDROLYSATE PROTEINS, KERATIN\; HYDROLYZED ANIMALKERATIN\; HYDROLYZED KERATIN POWDER\; HYDROLYZED KERATIN SOLUTION\; KERATINHYDROLYSATE PROTEINS\; KERATINS, HYDROLYZATES\; PROTEINS, KERATIN, HYDROLYSATE
РОЗЫ ДАМАССКОЙ ГИДРОЛАТ;ROSE DAMASCENA;ROSA DAMASCENA FLOWER WATER;Низкий;Натуральный;Химический состав:Паровой дистиллят лепестков розы дамасскойРозовая вода известнейшее косметическое средство еще со времен Древнего Египта. Действие гидролата такое же как у эфирного масла розы, но применять его можно в чистом виде. Добавление розовой воды в ванну способствует расслаблению и восстановлению сил. В послеродовый период рекомендуются сидячие ванны с розовой водой.Косметические свойства:- увлажняет кожу\;- регенерирует\;- разглаживает морщинки, в том числе мимические\;- повышает эластичность кожи\;- нормализует секрецию\;- обладает дезодорирующим действием\;- выравнивает тон кожи\;- сужает поры\;- устраняет стрессовые и аллергические реакции на кожеГидролат розы используют в чистом виде как натуральный тоник для лица, успокаивающий лосьон после бритья или эпиляции, розовой водой можно снимать макияж. Полезно распылять на кожу лица, шеи и зоны декольте немного розовой воды перед нанесением дневного крема. Компрессы с гидролатом розы помогают избавиться от дерматитов, снимают зуд от укусов насекомых, успокаивают кожу после загара.;Возможна индивидуальная непереносимость
ОГУРЦА ГИДРОЛАТ;CUCUMIS SATIVUS;CUCUMBER FRUIT WATER;Низкий;Натуральный;Гидролат огурца — продукт паровой дистилляции семян данного растения. Огуречная вода способствует восстановлению кожи, освежает ее, улучшает водно-липидный обмен. Обладает легким отбеливающим эффектом, повышает тонус кожи. Этот гидролат подходит для ухода за всеми типами кожи:для зрелой — способствует повышению эластичности, сокращению мелких морщин, улучшению микроциркуляции\;для сухой и чувствительной — противовоспалительное, успокаивающее средство, помогает справиться с шелушением и покраснением\;для жирной и комбинированной — делает кожу матовой, сужает поры, устраняет акне и следы от него, выравнивает тон кожи\;для кожи вокруг глаз — компрессы с огуречной водой устраняют отеки и темные круги, тонизируют кожу, разглаживают мелкие морщинки\;для волос — увлажняет кожу головы, регулирует выработку кожного сала, может заменить несмываемые спреи и облегчить укладку.;Возможна индивидуальная непереносимость
NULL;NULL;NULL;Низкий;Натуральный;;
ВЕТИВЕРА ГИДРОЛАТ;VETIVERIA ZIZANIOIDES;VETIVERIA ZIZANIOIDES;Низкий;Натуральный;Гидролат ветивера обладает положительным влиянием на психо-эмоциональную сферу: расслабляет, помогает справиться со стрессом, нервным напряжением, улучшает аппетит. Распыление небольшого количества гидролата на постельное белье избавит от бессоницы, также ветивер считается афродизиаком. Косметическое действие — ярко выраженные антисептические свойства, поэтому применяется для обработки любых нарушений кожных покровов\; рекомендуется как ежедневный уход за молодой кожей, склонной к воспалениям или пораженной угревой сыпью. Снимает раздражение, ускоряет заживление воспалительных процессов, разглаживает мелкие морщинки, укрепляет стенки мелких капилляров. Природный дезодорант и репеллент.;Возможна индивидуальная непереносимость
ГЕРАНИ ГИДРОЛАТ;PELARGONIUM GRAVEOLENS;PELARGONIUM GRAVEOLENS FLOWER/LEAF/STEM WATER;Низкий;Натуральный;Гидролат герани получают методом перегонки паром цветов и листьев растения пеларгонии. Имеет яркий цветочный аромат, репеллент (отпугивает мух и комаров). Одно из эффективнейших средств при куперозе, сосудистых звездочках, покраснениях. Нормализует выработку кожного сала, помогает коже удерживать влагу, успокаивает, обладает противовоспалительным действием.Кровоостанавливающее средство, применяется для обработки ран и порезов. Компрессы с гераниевой водой облегчают состояние при солнечном и тепловом ударе\; теплый компресс в сочетании с лавандовой водой в области живота уменьшает болезненные ощущения при ПМС и менопаузе. Смесь гидролата герани и меда применяется для восстановления водного баланса при грубой коже на локтях и коленях, после глиняных масок.;Возможна индивидуальная непереносимость
ЖЕНЬШЕНЯ ГИДРОЛАТ;PANAX GINSENG;PANAX GINSENG ROOT WATER;Низкий;Натуральный;Химический состав:Паровой дистиллят корней и других частей растенияЖеньшень многие века славится своими целебными свойствами. Его гидролат применяется в косметологии в составе средств для зрелой кожи и уходом за волосами. Косметические свойства:тонизирует\;увлажняет и насыщает кожу полезными веществами\;повышает защитные свойства эпидермиса\;способствует обновлению клеточного слоя\;предупреждает и замедляет старение\;регенерирует\;смягчает кожу\;снимает раздражение;Возможна индивидуальная непереносимость
ГЛИНА ЗЕЛЕНАЯ;GREEN CLAY;GREEN CLAY;Низкий;Синтетический;;Описание: богата микроэлементами и за это очень высоко ценится в современной косметологии, используется для ухода за кожей, волосами и ногтями.Цвет: порошок светло- зеленого цветаСостав: магний, кальций, серебро, марганец, фосфор, цинк, медь, кобальт, молибден.Косметическое действиеЗеленая глина- продукт в косметологии крайне неприхотливый, поэтому ее можно смешивать и с растительными, и с базовыми маслами, а также с экстрактами и другими косметическими компонентами, действие которых от такого тандема только усиливается. Зеленая глина для кожи: тонизирует, регулирует работу сальных желез, хороший помощник в борьбе с различными высыпаниями, акне, создает легкий эффект пилинга, помогает поддерживать кожу молодой и красивой. Зеленая глина для волос: борьба с перхотью, с излишней жирностью, ломкостью и выпадением волос, приводит корни волос в тонус, тем самым запуская жизненноважные процессы.Кроме того, бытует мнение, что зеленая глина помогает избавиться от сосудистых звездочек.
ГОЛУБАЯ ГЛИНА;BLUE CLAY;BLUE CLAY;Низкий;Натуральный;;Описание: голубую глину еше называют кембрийской, Цвет: порошок едва уловимого голубого цветаСостав: Коалинит, кварц, слюда, кальций, кремнезем, фосфат, железо, азот, кальций, магний, калий, радий и т. д.Косметическое действиеГолубая глина активно применяется в масках для лица и волос, а также обертываниях для тела, она способствует избавлению от перхоти, от повышенной жирности кожи и волос, сужению пор, является стимулятором роста волос, улучшает циркуляцию крови, тонизирует, оказывает легкий отбеливающий эффект и тонизирует, эффективно в борьбе с целлюлитом. Глиняные компрессы  снижают отечность и избавляют от тяжести в ногах, а маски для ног способны снизить потливость и оказывают антибактериальный эффект.
ГЛИНА БЕЛАЯ;WHITE CLAY;WHITE CLAY;Низкий;Натуральный;;Описание: белая глина или каолин издревле известна своими целебными свойствами и сейчас активно используется в косметических средствах- от масок для лица до детских присыпок- из- за своих уникальных свойств.Цвет: порошок белого цветаСостав: основными компонентами являются оксиды кремния и алюминия, а также кремнезем, цинк, медь, азот, кальций, магний, калий и др.Косметическое действиеБелая глина усиливает действие противовоспалительных компонентов, используется в декоративной косметике, так как обладает чудесной способностью абсорбировать кожный жир. Ее смело можно включать в свой домашний косметический сундучок, потому что каолиновые маски- кладезь пользы для кожи. Главные полезные свойства каолина- борьба с повышенной жирностью кожи и возрастными изменениями, насыщение кожи микроэлементами.Кроме того, каолин в последнее время все более популярен в средствах для жирной кожи и волос ввиду того, что обладает уникальной способностью притягивать на себя излишки жира и в средствах для чувствительной кожи из- за легкого пилинг- эффекта.
ЗВЕРОБОЯ МАСЛЯНЫЙ ЭКСТРАКТ;HYPERICUM PERFORATUM EXTRACT;HYPERICUM PERFORATUM EXTRACT;Низкий;Натуральный;;Описание: является одним из древнейших средств, которые использовались в народной медицинеЦвет: маслянистая жидкость золотистого цветаАромат: характерный слабыйСостав: дубильные вещества, пинен, гераниол, мирцен, цинеол, алкалоиды, гиперицин, азулен, сапонины, кумарин, гиперин, рутин, витамины С, РР и ЕКосметическое действиеЗверобой обладает регенерирующим и успокаивающим действием, оказывает положительное влияние на цвет лица и венозную систему, тонизирует кожу, эффективно при лечении акне и шрамов, купероза, варикозного расширения вен, смягчает кожу, восстанавливает кожу после приема солнечных ванн,
ПИХТЫ ГИДРОЛАТ;FIR WATER;FIR WATER;Низкий;Натуральный;;Описание: пихта издавна почиталась как священное дерево, потому что несет множество пользы для организма и кожи, гидролат пихты или пихтовая вода- продукт паровой дистилляции\; происходит из семейства \"сосновые\", Цвет: прозрачная жидкостьАромат: характерный свежийСостав: сантин, пинен, лимонен, борнилацетат, лавральдегид, пинен, лимонен, борнилацетат, борнеол.Косметическое действиеУспешно применяется при различных воспалениях, ожогах, а также угревой сыпи и диатезе, основным свойством является антисептическое действие пихтоворй воды, обладает свойством превосходно регенерировать ткани, омолаживающий эффект, наполняет кожу тонусом, а еще помогает победить дерматоз. Применяется как дезодорирующее средство.
РОЗМАРИНА ГИДРОЛАТ;ROSMARINUS OFFICINALIS (ROSEMARY) WATER;ROSMARINUS OFFICINALIS (ROSEMARY) WATER;Низкий;Натуральный;Описание: не имеет противопоказаний и одинаково полезен для кожи все возрастовЦвет: прозрачная жидкость Запах: ярко выраженный травянойСостав: цинеол, пинен, борнеол, камфен.Косметическое действиеНезаменимый помощник в противостоянии прыщам, акне, хорошо смягчает даже самую грубую кожу.  А если применять в форме компрессов, то проявляются очищающие и тонизирующие свойства. Для того чтобы усилить действие гидролата, рекомендуется смешивать его с другими водами, такими как: розовой герани, мелиссы, ромашки, вербены, моркови.Незаменим в уходе за волосами.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЭВКАЛИПТА ШАРОВИДНОГО ЭФИРНОЕ МАСЛО;EUCALYPTUS RADIATA ESSENTIAL OIL;EUCALYPTUS RADIATA  (EUCALYPTUS)  ESSENTIAL OIL;Низкий;Натуральный;;Описание: произрастает в различных областях нашего земного шара, получается из листьев и молодых ветвей, Цвет: бесцветная жидкость, с течением времени возможно пожелтениеЗапах: смолисто- терпкийСостав: пинен, камфен, цинеол, глобулол.Косметическое действиеПодойдет для любого типа кожи, но особенно показан людям с жирной кожей и волосами- оказывает антисептическое и противовоспалительное действие, устраняет угревую сыпь и раздражение, налаживает работу по выработке кожного сала, противостоит перхоти и повышенной жирности кожи головы и волос, поэтому прекрасно подойдет для обогащения шампуней. Масло незаменимо при ожогах, обморожениях и других повреждения из- за своих регенерирующих свойств, обладает дезодорирующим и отбеливающим действием, исцеляюще действует на герпетические образования.
ГУАРОВАЯ КАМЕДЬ (ГУАРОВАЯ СМОЛА ИЛИ ГУАР);CYAMOPSIS TETRAGONOLOBA;GUAR GUM;Низкий;Натуральный;Химический состав:галактоманнанводабелокДобавленный в воду даже в небольшой концентрации, гуар превращает ее в густой гель. Максимальная вязкость при комнатной температуре достигается через пару часов, поэтому смеси гуаровой камеди надо дать постоять (хорошо оставить на ночь) или подогреть: высокая температура ускорит растворение частичек смолы. Основные свойства компонента:- дает вязкую структуру\;- делает смесь стабильной\;- повышает эластичность смесей\;- препятствует кристаллизации.Хорошо взаимодействует с камедью рожкового дерева и ксантаном - улучшаются все качества смеси. Консерванты можно использовать как натуральные (экстракт грейпфрутовой косточки, экстракт прополиса, экстракт зеленого чая, экстракт виноградной косточки), так и промышленные (например, сорбат калия). Без использования консервирующих добавок крема с использованием гуаровой камеди хранятся 2-3 дня и могут заплесневеть.Благоприятное воздействие гуаровой камеди на кожу заключается в образовании защитной пленки, препятствующей испарению влаги из эпидермиса. Поэтому лучше всего использовать гуар в защитных средствах.Процент ввода колеблется от 0,1% до 5%.;Возможна индивидуальная непереносимость
КАРНАУБСКИЙ ВОСК;COPERNICIA CERIFERA;COPERNICIA CERIFERA (CARNAUBA) WAX;Низкий;Натуральный;;Карнаубский или пальмовый воск это натуральный компонент растительного происхождения. Его добывают из листьев пальмы в жарких странах Южной Америки (чаще всего в Бразилии). Температура плавления карнаубского воска самая высокая - 85 градусов, а цвет хлопьев может колебаться от золотистого до салатового. Применяется в пищевой промышленности - имеет маркировку Е903 - для создания глазури и обработки овощей и фруктов (придает им характерное глянцевое покрытие), так как нетоксичен и гипоаллергенен\; на его основе производят защитные мастики для автомобилей, мебели, средства для ухода за обувью, воски для обработки досок для серфинга и скейтбордов. В косметических средствах карнаубский воск позволяет получать густую консистенцию и делает средства устойчивыми к влаге и температурным колебаниям. Применяется чаще всего в декоративной косметике, особенно при изготовлении помад и грифелей косметических карандашей. Создает на коже невидимую пленочку, препятствующую обезвоживанию. Дозировка карнаубского воска составляет до 5% в кремах и до 10% в бальзамах для губ. Его также можно использовать для приготовления свечей и твердых саше.
КАНДЕЛИЛЬСКИЙ ВОСК;CANDELILA WAX;CANDELILA WAX;Низкий;Натуральный;Канделильский воск - это натуральных продукт растительного происхождения, который получают из кустарника канделилла. Воск покрывает листья и защищает их от испарения влаги в засушливом пустынном климате. Его получают при кипячении стеблей и листьев в растворе серной кислоты, затем из воска испаряют влагу и гранулируют. Канделильский воск имеет янтарно-желтый цвет и легкий аромат. Температура плавления около 70 градусов, что делает его очень стабильным. Хранить воск лучше всего в темном месте, так как от длительного воздействия солнечного света гранулы могут изменить цвет. Зарегистрирован в качестве пищевой добавки Е902.Канделильский воск нашел широкое применение в косметической индустрии:- в качестве эмульгирующего агента: он делает структуру крема густой и однородной, позволяет создать на коже защитную пленку\;- в качестве компонента для массажных бальзамов и кремов: защитная пленка, которую образует воск на поверхности кожи, позволяет делать массаж\;- в качестве основы для декоративной косметики.Так как температура плавления канделильского воска очень высока, он идеально подходит для производства помад, косметических карандашей и туши для ресниц. Такая косметика не боится влаги, жары и мороза\; макияж с использованием этих средств очень стойкий. Благодаря стабильности канделильского воска, он обладает легким антибактериальным действием. Максимальная дозировка канделильского воска составляет до 5% в зависимости от рецепта\; в качестве соэмульгатора рекомендуется добавлять не более 3%. Воск смешивается с эмульгаторами и твердыми маслами и топится на водяной бане.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
